date,cropyear,yields
2004-06-01,2004,37.9
2004-07-01,2004,41.2
2004-08-01,2004,41.2
2005-06-01,2005,43.2
2005-07-01,2005,40.6
2005-08-01,2005,40.6
2006-06-01,2006,32.9
2006-07-01,2006,32.7
2006-08-01,2006,32.7
2007-06-01,2007,39.1
2007-07-01,2007,39.3
2007-08-01,2007,39.3
2008-06-01,2008,36.8
2008-07-01,2008,36.4
2008-08-01,2008,36.4
2009-06-01,2009,38.3
2009-07-01,2009,41.5
2009-08-01,2009,41.5
2010-06-01,2010,44.6
2010-07-01,2010,46.6
2010-08-01,2010,46.6
2011-06-01,2011,41.7
2011-07-01,2011,42.5
2011-08-01,2011,42.5
2012-06-01,2012,40.4
2012-07-01,2012,42.8
2012-08-01,2012,42.8
2013-06-01,2013,42.9
2013-07-01,2013,42.8
2013-08-01,2013,42.8
2014-06-01,2014,45.5
2014-07-01,2014,46.1
2014-08-01,2014,46.1
2015-06-01,2015,46.7
2015-07-01,2015,47.0
2015-08-01,2015,47.0
2016-06-01,2016,46.5
2016-07-01,2016,48.3
2016-08-01,2016,48.3
2017-06-01,2017,40.3
2017-07-01,2017,38.3
2017-08-01,2017,38.3
2018-06-01,2018,47.6
